a_a_1;tetrapsifios_mai;ktirio_ypiresia;perifereia_1;nomos_1;megethos_1;typos_1;diefthinsi_forea;arithmos;tk_1;dimos_1;longitude;latitude
21512;;10ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΠΑΝ. ΚΥΡΙΑΚΟΥ;12;11521;(null);23,753614;37,982605
21528;;2ο ΤΕΕ ΓΑΛΑΤΣΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΤΑΥΓΕΤΟΥ 60 & ΠΑΣΣΩΒ 8;;11141;ΓΑΛΑΤΣΙΟΥ;23,735427;38,0137
21529;;2ο ΤΕΕ Ν. ΦΙΛΑΔΕΛΦΕΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΛΑΧΑΝΑ;7;14342;ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ;23,736183;38,047558
21531;;4ο ΤΕΕ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΣΑΙΟΣ;ΠΑΙΔΕΙΑ - ΤΕΕ;ΤΣΗΛΕΡ ΚΑΙ ΡΩΣ;1;11144;ΑΘΗΝΑΙΩΝ;23,729776;38,020203
21534;;7ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΕΡΙΣΤΕΡΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΙΘΑΚΗΣ ΚΑΙ ΡΟΔΟΥ;;12133;ΠΕΡΙΣΤΕΡΙΟΥ;23,699585;38,015066
21535;;2ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ;128;13562;ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ ΑΤΤΙΚΗΣ;23,724494;38,032319
21536;;3ο ΝΗΠΙΑΓΩΓΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΗΛΕΙΑΣ;27;14451;ΜΕΤΑΜΟΡΦΩΣΗΣ;23,761352;38,056619
21537;;28ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΑΙΓΙΝΗΣ;61;11362;ΑΘΗΝΑΙΩΝ;23,735562;37,997273
21540;;4ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΙΜΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ADSL;ΠΑΙΔΕΙΑ - ΠΡΩΤΟΒΑΘΜΙΑ;ΜΥΡΟΓΙΑΝΝΗ ΚΑΙ ΚΥΒΕΛΗΣ;0;17456;ΑΛΙΜΟΥ;23,73083;37,916174
21578;;ΓΥΜΝΑΣΙΟ ΠΕΙΡΑΙΑ ΠΕΙΡΑΜΑΤΙΚΟ ΙΩΝΙΔΕΙΟΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΣΩΤΗΡΟΣ ΔΙΟΣ;17;18535;ΠΕΙΡΑΙΑ;23,643563;37,940884
21588;;4ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΗΛΙΟΥΠΟΛΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΒΑΚΧΟΥ;13;16345;ΗΛΙΟΥΠΟΛΗΣ;23,748453;37,942526
21591;;ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΕΙΡΑΜΑΤΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΑΘΗΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΣΚΟΥΦΑ;43;10673;ΑΘΗΝΑΙΩΝ;23,734598;37,978632
21597;;ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΕΡΥΘΡΑΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΑΖΑΝΤΖΑΚΗ 29 & ΣΚΟΥΦΑ ΓΩΝΙΑ;;14671;ΝΕΑΣ ΕΡΥΘΡΑΙΑΣ;23,809992;38,096937
21598;;1ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΛΥΚΟΒΡΥΣΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΟΤΤΟΥ 6 - ΡΙΜΙΝΙ;;14123;ΛΥΚΟΒΡΥΣΗΣ;23,784025;38,065674
21599;;2ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΚΑΛΒΟΥ;103;14231;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,752381;38,040827
21600;;3ο ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΠΑΙΔΕΙΑ - ΔΕΥΤΕΡΟΒΑΘΜΙΑ;ΔΕΜΙΡΔΕΣΙΟΥ;121;14233;ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ;23,755419;38,029594
